resolution,emotions,people,tries,time
11,12,17,4,62.7996195
11,12,18,4,64.9061954
11,12,19,4,70.5612667
11,12,2,30,54.4259068
11,12,20,4,76.1403986
11,12,21,2,39.8814288
11,12,22,2,43.0195469
11,12,23,2,46.4925436
11,12,24,2,52.6426607
11,12,25,2,57.5504062
11,12,26,2,56.6908999
11,12,27,2,64.1939721
11,12,28,2,77.0158622
11,12,29,2,187.5491587
11,12,3,30,56.4503764
11,12,30,2,1841.8491576
11,12,31,2,2389.8495853
11,12,4,30,75.9772158
11,12,5,30,92.45261
11,12,6,30,111.719009
11,12,7,30,132.9027975
11,12,8,30,158.6485822
11,12,9,30,179.6928592
11,13,10,30,245.023771
11,13,11,4,35.0667113
11,13,12,4,39.8891372
11,13,13,4,44.3190362
11,13,14,4,48.6120577
11,13,15,4,54.1181512
11,13,16,4,60.528878
11,13,17,4,64.8849764
11,13,18,4,71.5422942
11,13,19,4,75.4648935
11,13,2,30,115.3436029
11,13,20,4,85.2846267
11,13,21,2,44.6805199
11,13,22,2,46.6074987
11,13,23,2,53.2276484
11,13,24,2,55.3009144
11,13,25,2,60.3464389
11,13,26,2,67.0319511
11,13,27,2,70.439527
11,13,28,2,109.9005704
11,13,29,2,1261.0113406
11,13,3,30,72.7337783
11,13,30,2,1926.4784791
11,13,31,2,2450.3004613
11,13,4,30,89.7624437
11,13,5,30,106.7165951
11,13,6,30,130.3661313
11,13,7,30,163.2250075
11,13,8,30,181.0179527
11,13,9,30,213.3526731
11,14,10,2,17.6984764
11,14,11,2,26.1801962
11,14,12,2,24.6412803
11,14,13,2,25.6636716
11,14,14,2,27.5316867
11,14,15,2,29.7696547
11,14,16,2,32.5638618
11,14,17,2,36.2292172
11,14,18,2,40.14364
11,14,19,2,42.6055589
11,14,2,2,4.2612105
11,14,20,2,45.1642727
11,14,21,2,89.4060573
11,14,22,2,97.6011807
11,14,23,2,105.3078855
11,14,24,2,107.2691797
11,14,25,2,112.7685835
11,14,26,2,78.67324
11,14,27,2,79.1209321
11,14,28,2,97.3951974
11,14,29,2,182.17491
11,14,3,2,5.4586852
11,14,30,2,2143.265618
11,14,31,2,2603.6442785
11,14,4,2,7.0025501
11,14,5,2,8.3860122
11,14,6,2,10.2569429
11,14,7,2,12.0660484
11,14,8,2,14.0629806
11,14,9,2,16.1753483
11,2,2,30,2.6624491
11,3,2,30,4.9249449
11,4,2,30,7.2777813
11,4,3,30,11.7750901
11,4,4,30,14.6700727
11,5,10,30,63.5949426
11,5,11,4,10.2885355
11,5,12,4,12.1704368
11,5,13,4,14.4773756
11,5,14,4,14.6196867
11,5,15,4,15.6947263
11,5,2,30,11.4239697
11,5,3,30,16.4519592
11,5,4,30,22.6957332
11,5,5,30,25.3555145
11,5,6,30,32.652253
11,5,7,30,39.8671043
11,5,8,30,46.8703886
11,5,9,30,54.2686869
11,6,10,30,79.8713801
11,6,11,4,12.1831341
11,6,12,4,14.0196549
11,6,13,4,17.7998102
11,6,14,4,17.645094
11,6,15,4,19.3108479
11,6,16,4,22.3416635
11,6,2,30,15.3122403
11,6,3,30,19.9527018
11,6,4,30,25.7545665
11,6,5,30,36.066694
11,6,6,30,44.864556
11,6,7,30,49.6907598
11,6,8,30,59.755634
11,6,9,30,68.9348382
11,7,10,30,98.3343091
11,7,11,4,15.2116805
11,7,12,4,17.3446606
11,7,13,4,19.3939496
11,7,14,4,21.3330794
11,7,15,4,23.8464173
11,7,16,4,27.0922121
11,7,17,4,29.1393905
11,7,18,4,32.8667849
11,7,19,4,36.088061
11,7,2,30,18.3062411
11,7,3,30,24.6501983
11,7,4,30,33.5799759
11,7,5,30,41.5884969
11,7,6,30,51.9625286
11,7,7,30,62.6962006
11,7,8,30,73.449068
11,7,9,30,85.7561738
11,8,10,30,122.501002
11,8,11,4,17.7849224
11,8,12,4,20.3013038
11,8,13,4,23.155501
11,8,14,4,29.829263
11,8,15,4,28.525356
11,8,16,4,31.6266899
11,8,17,4,37.3411563
11,8,18,4,39.3349807
11,8,19,4,42.0293155
11,8,2,30,27.9013634
11,8,20,4,47.3750682
11,8,21,2,24.1574962
11,8,22,2,26.7927154
11,8,23,2,29.146851
11,8,24,2,32.371077
11,8,25,2,36.2891496
11,8,26,2,40.1071898
11,8,27,2,41.6462061
11,8,28,2,64.8829736
11,8,29,2,469.0646233
11,8,3,30,33.1450597
11,8,30,2,1031.0029503
