resolution,emotions,people,tries,time
8,14,40,4,105.7491599
8,14,41,2,45.1690828
8,14,42,2,48.1558137
8,14,43,2,48.9615245
8,14,44,2,52.0329399
8,14,45,2,52.5049513
8,14,46,2,56.444889
8,14,47,2,58.7193603
8,14,48,2,62.2653441
8,14,49,2,62.4051117
8,14,5,2,3.3191186
8,14,50,2,68.0108357
8,14,51,2,71.277428
8,14,52,2,74.1321214
8,14,53,2,78.7575396
8,14,54,2,159.5048292
8,14,55,2,403.6836607
8,14,56,2,1960.2711526
8,14,57,2,2099.7693679
8,14,58,2,2591.3627057
8,14,59,2,2745.3396865
8,14,6,2,4.0410242
8,14,60,2,3031.0352217
8,14,7,2,4.6033983
8,14,8,2,5.2186227
8,14,9,2,5.7836979
9,14,10,2,9.562978
9,14,11,2,10.1192821
9,14,12,2,11.2375291
9,14,13,2,12.6788484
9,14,14,2,13.717281
9,14,15,2,14.9654858
9,14,16,2,16.6795589
9,14,17,2,18.2556947
9,14,18,2,19.7675627
9,14,19,2,21.4461982
9,14,2,2,2.2074599
9,14,20,2,23.286975
9,14,21,2,35.3033625
9,14,22,2,37.5525874
9,14,23,2,39.8539931
9,14,24,2,51.5890474
9,14,25,2,62.0409056
9,14,26,2,33.0641082
9,14,27,2,35.6075235
9,14,28,2,37.5862085
9,14,29,2,40.6975232
9,14,3,2,2.8241909
9,14,30,2,43.0072684
9,14,31,2,44.7201642
9,14,32,2,47.1134522
9,14,33,2,49.4143942
9,14,34,2,51.2958167
9,14,35,2,55.6550147
9,14,36,2,58.1305741
9,14,37,2,60.3849515
9,14,38,2,65.6470045
9,14,39,2,69.7292056
9,14,4,2,3.6825312
9,14,40,2,71.6836939
9,14,41,2,76.759594
9,14,42,2,79.1833317
9,14,43,2,158.1390128
9,14,44,2,1772.7316893
9,14,45,2,2047.082591
9,14,46,2,2612.6381017
9,14,47,2,3129.986956
9,14,5,2,4.3988394
9,14,6,2,5.2443493
9,14,7,2,6.134982
9,14,8,2,7.2841031
9,14,9,2,8.3298347
10,14,10,2,13.1151738
10,14,11,2,13.9878382
10,14,12,2,15.7252167
10,14,13,2,17.2508498
10,14,14,2,18.6428731
10,14,15,2,21.2993885
10,14,16,2,23.0477284
10,14,17,2,25.4791126
10,14,18,2,27.6545429
10,14,19,2,29.6856299
10,14,2,2,3.0616454
10,14,20,2,32.8217274
10,14,21,2,68.3453648
10,14,22,2,72.130652
10,14,23,2,76.1416372
10,14,24,2,81.665013
10,14,25,2,87.1473244
10,14,26,2,47.391144
10,14,27,2,49.6787361
10,14,28,2,54.5906424
10,14,29,2,60.4221511
10,14,3,2,3.9681201
10,14,30,2,62.6590384
10,14,31,2,67.8756465
10,14,32,2,72.3273846
10,14,33,2,74.1021499
10,14,34,2,87.3579064
10,14,35,2,129.7742197
10,14,36,2,2151.3405943
10,14,37,2,2484.6666455
10,14,38,2,2820.6261985
10,14,4,2,5.0576486
10,14,5,2,6.0216719
10,14,6,2,7.2623466
10,14,7,2,8.503913
10,14,8,2,9.9869146
10,14,9,2,11.6902177
11,14,10,2,17.6984764
11,14,11,2,26.1801962
11,14,12,2,24.6412803
11,14,13,2,25.6636716
11,14,14,2,27.5316867
11,14,15,2,29.7696547
11,14,16,2,32.5638618
11,14,17,2,36.2292172
11,14,18,2,40.14364
11,14,19,2,42.6055589
11,14,2,2,4.2612105
11,14,20,2,45.1642727
11,14,21,2,89.4060573
11,14,22,2,97.6011807
11,14,23,2,105.3078855
11,14,24,2,107.2691797
11,14,25,2,112.7685835
11,14,26,2,78.67324
11,14,27,2,79.1209321
11,14,28,2,97.3951974
11,14,29,2,182.17491
11,14,3,2,5.4586852
11,14,30,2,2143.265618
11,14,31,2,2603.6442785
11,14,4,2,7.0025501
11,14,5,2,8.3860122
11,14,6,2,10.2569429
11,14,7,2,12.0660484
11,14,8,2,14.0629806
11,14,9,2,16.1753483
12,14,10,2,24.8007101
12,14,11,2,26.9763137
12,14,12,2,28.9098298
12,14,13,2,31.9293261
12,14,14,2,35.6092563
12,14,15,2,39.750096
12,14,16,2,46.2541477
12,14,17,2,50.6977166
12,14,18,2,55.6765721
12,14,19,2,60.6428402
12,14,2,2,5.7002535
12,14,20,2,64.6371427
12,14,21,2,118.2539713
12,14,22,2,127.5417227
12,14,23,2,137.3446294
12,14,24,2,370.2901379
12,14,25,2,2351.6481851
12,14,26,2,2585.4412382
12,14,3,2,7.2228539
12,14,4,2,9.1465577
12,14,5,2,11.325542
12,14,6,2,14.3917918
12,14,7,2,19.0130082
12,14,8,2,21.3531105
12,14,9,2,25.2633806
13,14,10,2,32.3958974
13,14,11,2,35.6452722
13,14,12,2,39.4763827
13,14,13,2,44.1201685
13,14,14,2,50.3103497
13,14,15,2,54.7112714
13,14,16,2,59.8395558
